subj_idx,go,s,c,r,rt
3,0,2,0,1,NaN
3,0,2,1,0,1.8599
3,0,2,0,1,NaN
3,0,2,0,0,NaN
3,0,2,1,0,0.5881
3,0,2,1,0,0.92333
3,0,2,1,0,1.4181
3,0,2,1,0,1.137
3,0,2,1,0,1.1237
3,0,2,1,0,1.2307
3,0,2,1,1,1.1236
3,0,2,0,1,NaN
3,0,2,1,0,1.311
3,0,2,1,0,0.6015
3,0,2,1,1,1.4316
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,1,0,1.2039
3,0,2,1,1,1.1235
4,1,1,0,0,NaN
4,1,1,0,0,NaN
4,1,1,0,1,NaN
4,1,1,0,0,NaN
4,1,1,1,1,0.44056
4,1,1,1,0,1.3111
4,1,1,0,0,NaN
4,1,1,0,0,NaN
4,1,1,0,0,NaN
4,1,1,1,1,1.4449
4,1,1,1,1,1.5251
4,1,1,1,1,0.49433
4,1,1,1,1,0.57469
4,1,1,1,1,0.44078
4,1,1,1,1,0.70859
4,1,1,1,0,0.50754
4,1,1,1,1,0.60135
4,1,1,1,1,0.94954
4,1,1,1,0,0.82895
4,1,1,1,1,0.46757
4,1,1,1,1,1.0299
4,1,1,1,1,0.34709
4,1,1,1,1,1.0833
4,1,1,1,0,0.37387
4,1,1,1,1,0.74858
4,1,1,1,1,0.65489
4,1,1,1,0,0.38727
4,1,1,1,1,1.0566
4,1,1,1,1,0.37377
4,1,1,1,1,0.38722
4,1,1,1,0,0.46759
4,1,1,1,1,0.38726
4,1,1,1,1,0.58824
4,1,1,1,1,0.52114
4,1,1,1,1,0.56131
4,1,1,1,0,0.44078
4,1,1,1,1,0.38716
4,1,1,1,1,0.37386
4,1,1,1,1,0.42738
4,1,1,0,0,NaN
4,1,1,1,1,0.33369
4,1,1,1,1,0.33362
4,1,1,1,1,0.36045
4,1,1,1,0,0.37385
4,1,1,1,1,0.4408
4,1,1,1,0,0.38711
4,1,1,1,1,0.34709
4,1,1,1,1,0.37383
4,1,1,1,1,0.44081
4,1,1,1,1,0.33348
4,1,1,1,1,0.58806
4,1,1,1,1,0.48081
4,1,1,1,1,0.61478
